Name,Mileage,Dealer Name,Rating,rating_count,price
2018 Mercedes-Benz S-Class S 450 4MATIC,"33,834 mi.",Mercedes-Benz of Massapequa,4.8,"1,546 ","$69,995"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"12,010 mi.",Mercedes-Benz Of Tampa,4.4,104 ,"$80,990"
2019 Mercedes-Benz C-Class C 300,"22,289 mi.",Autobahn Motors,4.6,890 ,"$32,998"
2018 Mercedes-Benz E-Class E 300,"26,095 mi.",Mercedes-Benz of Fayetteville,4.9,597 ,"$43,998"
2019 Mercedes-Benz C-Class C 300,"11,673 mi.",Mercedes-Benz of South Charlotte,4.8,161 ,"$41,954"
2021 Mercedes-Benz C-Class C 300,"9,971 mi.",Mercedes-Benz of Covington,4.8,410 ,"$44,000"
2018 Mercedes-Benz GLE 350 Base 4MATIC,"32,274 mi.",Mercedes-Benz of San Francisco / Smart Center San Francisco,3.6,13 ,"$37,970"
2017 Mercedes-Benz GLS 450 Base 4MATIC,"25,119 mi.",Mercedes-Benz of Bellevue,4.7,482 ,"$49,585"
2019 Mercedes-Benz AMG E 53 4MATIC,"20,741 mi.",Mercedes-Benz of Westwood,4.8,124 ,"$71,298"
2018 Mercedes-Benz E-Class E 300,"33,285 mi.",Mercedes-Benz of Fayetteville,4.9,597 ,"$42,500"
2019 Mercedes-Benz C-Class C 300,"20,505 mi.",Mercedes-Benz of South Charlotte,4.8,161 ,"$57,724"
2019 Mercedes-Benz GLC 300 Base,"22,041 mi.",RBM of Atlanta,4.9,"1,001 ","$39,968"
2019 Mercedes-Benz GLE 400 Base 4MATIC,"31,520 mi.",Mercedes-Benz of Clearwater,4.2,78 ,"$49,610"
2018 Mercedes-Benz AMG GLC 43 Base 4MATIC,"34,070 mi.",Mercedes-Benz of White Plains,3.6,16 ,"$55,176"
2018 Mercedes-Benz E-Class E 300 4MATIC,"14,768 mi.",Mercedes-Benz of Arlington,4.9,"1,502 ","$46,995"
